job_title,job_company_name,job_location,job_salary,job_details,job_date,today_date
Angular Developer,Adwit Global,"Bengaluru, Karnataka•Temporarily Remote","₹25,000 - ₹75,000 a month","Familiarity with modern front-end build pipelines and tools.
2 - 4 years of experience in Angular front-end development of web application development .",30 days ago,21-07-21
Opportunity for Front End Developer,All Blue Infotech,"Bengaluru, Karnataka","₹30,00,000 - ₹80,00,000 a year","Develop User interfaces for Modern Rich Internet Applications with the latest Front-End Technologies.
Writing, testing and documenting JavaScript, HTML and CSS.",30+ days ago,21-07-21
Front End Developer,Starvic edu tech LLP,"Bengaluru, Karnataka•Temporarily Remote","₹3,80,072 a year","Front-end development: 2 years (Preferred).
Note: The budget is open, looking at candidates who can join immediately or max within 30 days.*.",24 days ago,21-07-21
,IBM,"Bengaluru, Karnataka•Remote",Salary Not Mentioned,"Good Experience in front-end technology, familiar with JavaScript, HTML/CSS, SCSS, Json, etc.
Software Developers at IBM are the backbone of our strategic…",5 days ago,21-07-21
UI DEVELOPER,Harman International,"Bengaluru, Karnataka",Salary Not Mentioned,"A Career at HARMAN As a technology leader that is rapidly on the move, HARMAN is filled with people who are focused on making life better. Innovation,…",18 days ago,21-07-21
,KayaDev AI,"Bengaluru, Karnataka•Remote","₹5,00,000 - ₹7,00,000 a year","Familiarity with modern front-end build pipelines and tools.
Building reusable components and front-end libraries for future use.",Today,21-07-21
Web Developer,Tredence,"Bengaluru, Karnataka",Salary Not Mentioned,"Integrate data from various back-end services and databases.
Create website layout/user interface by using standard HTML/CSS practices.",30+ days ago,21-07-21
,Lirctek technologies Pvt ltd,"Bengaluru, Karnataka","₹35,000 a month","Architect, design and develop UI for enterpriselife cyclemanagement software of Applications/Databases.
Deliverbestof the class UI experience to the customers.",Today,21-07-21
,Intuit,"Bengaluru, Karnataka",Salary Not Mentioned,"3+ years professional experience developing web, software, or mobile applications.
2+ years experience with JavaScript and React.",4 days ago,21-07-21
Front End Developer,SpurTree Technologies,"Bengaluru, Karnataka",Salary Not Mentioned,"3+ years of experience in front-end development or related discipline.
These will include websites, mobile web apps, intranets, commerce solutions, and…",30+ days ago,21-07-21
Software Developer 4 (Front End),Oracle,"Bengaluru, Karnataka",Salary Not Mentioned,"Expertise in client (web, mobile) applications development using JavaScript, Typescript.
Experience working with RESTful services.",30+ days ago,21-07-21
Front End Developer (ReactJS),Thence,"Bengaluru, Karnataka•Temporarily Remote","₹8,00,000 - ₹12,00,000 a year","A seasoned front end developer passionate about coding pixel perfect user interfaces for web and mobile platforms.
Front-end development: 2 years (Preferred).",29 days ago,21-07-21
UI- Front End Developer,Catori Infotech Private Limited,"Bengaluru, Karnataka•Temporarily Remote","₹2,40,000 - ₹3,00,000 a year","Ø 1 to 3 years of working experience as a UX UI Developer.
Ø Excellent HTML, CSS Skills (Less CSS), Bootstrap etc.
Ø Core PHP development experience is a must.",30+ days ago,21-07-21
,Embedsense Solutions Private Limited,"Hebbal, Bengaluru, Karnataka",Salary Not Mentioned,"Hands-on experience on front end development and significant JavaScript for 1+ years.
Looking for detail oriented, logical thinkers with good OOO programming…",1 day ago,21-07-21
,Analytics Valley Technologies Pvt. ltd,"Bengaluru, Karnataka","₹4,16,275 - ₹16,24,165 a year","Familiarity with front-end technologies (like JavaScript and HTML5).
Developing back-end components to improve responsiveness and overall performance.",6 days ago,21-07-21
,SAP,"Bengaluru, Karnataka",Salary Not Mentioned,"Work Area: Software-Design and Development.
Employment Type: Regular Full Time.
SAP CPQ (Configure Price Quote) is a cloud multi-tenant app that supports B2B…",Today,21-07-21
,Harman International,"Bengaluru, Karnataka",Salary Not Mentioned,The web developer will be part of the development team and will work closely with the multiple departments in organization.,6 days ago,21-07-21
,Infiniti Research Indian Pv.t Ltd,"Bengaluru, Karnataka•Temporarily Remote","₹30,000 a month","⦁ Strong understanding of JavaScript, its quirks, and workarounds.
⦁ Strong understanding of features and utility functions of jQuery / JS Frameworks (Vue JS),…",1 day ago,21-07-21
,Smiths Detection,"Bengaluru, Karnataka",Salary Not Mentioned,"Report progress of all activities against target to senior software developers, project management & line management.
Active participation in design reviews.",Today,21-07-21
,Global Savings Group,"Bengaluru, Karnataka•Remote",Salary Not Mentioned,"4 years experience with a front-end JavaScript framework such as Vue.js, React, etc.
Be a hands-on developer and should be able to switch between research,…",Today,21-07-21
Junior Front End Developer,1stZoom,"Bengaluru, Karnataka•Remote","₹3,00,000 - ₹6,70,343 a year","Own the end to end UI workflow from design to delivery to create dynamic, pixel perfect UIs that are completely focused on delivering immediate customer value.",30+ days ago,21-07-21
,ThingsCloud,"Bengaluru, Karnataka",Salary Not Mentioned,"Expert level development and delivery of customer experience test campaigns.
Proactive and vocal member of agile team.
Strong pure cross-browser JavaScript.",5 days ago,21-07-21
Senior Front End Developer,Alpha Pro Med LLC,"Bengaluru, Karnataka","₹89,105 - ₹1,11,381 a month","\* Build the front-end of applications through appealing visual design.
\* A thorough and deep understanding of all major front-end frontend framework such as…",22 days ago,21-07-21
FRONT-END WEB DEVELOPER,Emertxe,"Bengaluru, Karnataka",Salary Not Mentioned,The position of front-end web developer is to take up the responsibility of maintaining and developing internal online eco-system of Emertxe group company.,30+ days ago,21-07-21
,SAP,"Bengaluru, Karnataka",Salary Not Mentioned,"Work Area: Software-Design and Development.
Employment Type: Regular Full Time.
SAP Fiori Elements provide a framework for the most common application patterns.",6 days ago,21-07-21
,Apcons infotech,"Bengaluru, Karnataka•Temporarily Remote","₹7,00,000 - ₹9,00,000 a year","Overall 5+ Years of Experience working with various Frontend Technologies.
Minimum 3 Years of Experience with frontend frameworks, like VueJS or React.js.",7 days ago,21-07-21
,Modaka Technologies,"Bengaluru, Karnataka•Remote","₹20,086 - ₹35,000 a month","Must have experience in web development, frontend & backend.
Experience in building SaaS applications will be an advantage.
Job Types: Full-time, Walk-In.",1 day ago,21-07-21
Hiring for Front end developer,amoli talents,"Bengaluru, Karnataka•Remote","₹12,00,000 a year","Mid-level FE developer experience as a minimum Strong vanilla JS skills with ES6 Working knowledge of working with Typescript.
Should be good in shopify.",29 days ago,21-07-21
,Accenture,"Bengaluru, Karnataka",Salary Not Mentioned,"Technical Experience : 1:Hands-on knowledge of front end development technologies such as JavaScript, HTML, CSS, SASS, AJAX and JSON 2:Experience with one or…",Today,21-07-21
Front-end developer H/F,TESQ,"Bengaluru, Karnataka•Remote","₹12,000 - ₹18,000 a month","Collaborate with back-end developers and web designers to improve usability.
You must be both technically proficient and have a keen eye for design and UI/UX.",30+ days ago,21-07-21
,Intuit,"Bengaluru, Karnataka",Salary Not Mentioned,"8+ years experience developing web, software, or mobile applications.
3+ years experience with JavaScript and React.
Expertise with HTML and CSS.",4 days ago,21-07-21
AngularJS Developer,Infosys Limited,"Bengaluru, Karnataka",Salary Not Mentioned,"Applications,Bachelor Of Technology,Post Graduate of Computing.
A day in the life of an Infoscion • As part of the Infosys Delivery team, you will work on…",18 days ago,21-07-21
FRONT END DEVELOPER,Suventure Services,"Bengaluru, Karnataka",Salary Not Mentioned,"Proficient understanding of client-side scripting, JavaScript, Typescript, Angular Web markup including HTML5, CSS3.
(for creating graphs and charts).",30+ days ago,21-07-21
UI Developer,IBM,"Bengaluru, Karnataka",Salary Not Mentioned,"Minimum 2 years of relevant experience as a front-end developer, working with web technologies and frameworks and with JavaScript / TypeScript programming…",30+ days ago,21-07-21
Junior Front End Developer,1stZoom,"Bengaluru, Karnataka•Remote","₹3,00,000 - ₹6,70,343 a year","Own the end to end UI workflow from design to delivery to create dynamic, pixel perfect UIs that are completely focused on delivering immediate customer value.",30+ days ago,21-07-21
UI Developer,Qcentum Technologies LLC,"Bengaluru, Karnataka","₹1,77,736 - ₹3,50,000 a year","Experience with Angular is a Must.
Familiarity with REST API design.
Develop web pages using modern technologies such as HTML5, CSS3, SCSS, CSS frameworks,…",30+ days ago,21-07-21
Front End Developer,trikonnect,"Bengaluru, Karnataka",Salary Not Mentioned,"Master of JavaScript along with sound knowledge in DOM, AJAX, and JSON.
Adept at hand-coding standards-compliant CSS and HTML.",30+ days ago,21-07-21
Senior Oracle APEX Developer - Front End,QuarkCube Private Limited,"Bengaluru, Karnataka•Remote","₹6,00,000 a year","You will be responsible for building the ‘client-side’ of our web applications.
You should be able to translate our company and customer needs into functional…",12 days ago,21-07-21
UI Developer,Skoruz,"Bengaluru, Karnataka",Salary Not Mentioned,"UI Developer Bangalore, Karnataka - India | Posted - 13/02/2020 Overview Gave an assignment to build an application. Job Details N/A Contact Person Details…",30+ days ago,21-07-21
Web Developer,Cloud9i,"Bengaluru, Karnataka•Temporarily Remote","₹15,000 - ₹20,000 a month","Developer is responsible for both back-end and front-end development.
Good understanding of front-end technologies, including HTML5, CSS3, JavaScript, jQuery.",30+ days ago,21-07-21
